,Category_ID,Title,Description,Address,Coordinates,Status_value,Status_label,Url
602,57,"Strada Mărăști 1-25, Târgu Mureș, judetul: Mures","Lucrari de inlocuire apa/canalizare. Dupa terminarea lucrarilor, asfaltare in batjocura. Strada e plina de gropi de la un capat la altul","Romania, Mures, Târgu Mureș, Strada Mărăști 1-25","46.549497, 24.56204600000001",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-marasti-1-25-targu-mures-mures/
603,49,"Strada Constandin Hagi Stoian, Târgu Mureș, judetul: Mures",Pe aceasta strada nu exista canalizare. Era un proiect sa se faca pentru o portiune de 100 metri din cei aproximativ 900 metri cati are strada. Este cred singura strada din Tirgu Mures fara canalizare. Oricum printre putinele.,"Romania, Mures, Târgu Mureș, Strada Constandin Hagi Stoian","46.56794830722546, 24.544615745544434",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-constandin-hagi-stoian-targu-mures-mures/
604,57,"Aleea Săvineşti 12;14;16, Târgu Mureș 547525, judetul: Mures","In acest cartier frumos si linistit s-au montat cam la fiecare bloc cosuri de gunoi, dar aceste cosuri au fost demontate si ascunse prin subsolurile blocurilor, deoarece nu avea cine sa stranga gunoiul din ele si astfel gunoiul tot se aduna. Va rog sa dispuneti sa se monteze noi cosuri de gunoi care sa fie golite de angajatii asociatiei de proprietari. Asociatie care nu face nimic pentru cetateni, dar incaseaza bani pentru curatenie in cartier!","Romania, Mures, Târgu Mureș 547525, Aleea Săvineşti 12;14;16","46.54005982796694, 24.54973340034485",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/aleea-savinesti-121416-targu-mures-547525-mures/
605,44,"Strada Ialomiţei 7, Târgu Mureș 547525, judetul: Mures",Drum plin de gropi! Nu a fost reabilitat de cand ma stiu. Nu exista cosuri de gunoi!,"Romania, Mures, Târgu Mureș 547525, Strada Ialomiţei 7","46.53908568558788, 24.546900987625122",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-ialomitei-7-targu-mures-547525-mures/
606,44,"Strada Furtunei, Târgu Mureș 547525, judetul: Mures","Aceasta strada are foarte multe gropi si nu a fost reabilitata niciodata. Intrebare: de ce? Pentru ca nu stau romani pe aceasta strada sau pentru faptul ca este o biserica reformata??? la fel si str. Zanelor. Inca o problema foarte importanta este ca drumul care inconjoara piata armatei este plin de gropi si trotuarele sunt dezastruoase. Nu exista nici cosuri de gunoi. Cetatenii care frecventeza Piata armatei nu au unde sa-si faca nevoile. Este rusinos. Va rog sa ajutati la rezolvarea acestor probleme stringente! PS Sunt roman, sa nu se creada ca sunt maghiar!","Romania, Mures, Târgu Mureș 547525, Strada Furtunei","46.5403132, 24.548891700000013",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-furtunei-targu-mures-547525-mures-2/
607,56,"Strada Sfântul Ioan, Târgu Mureș, judetul: Mures","Devine o problema apasatoare pentru oricine cine urca strada, deoarece partea dreapta a carosabilului este mereu blocata de masini si rulote sau alte vehicule de la casa nr. 6. Solutia cea mai buna si necesara ar fi sa se interzica parcarea pe carosabil a masinilor, deoarece blocheaza traficul (fiind un loc unde vin TIR-urile). Problema apare si in cazul inmormantarilor la cimitirul Livezeni, cand toata zona devine blocata si traficul sta pe loc din cauza parcarilor pe carosabil. Instaland indicatoare in aceasta zona ar preveni aceasta problema.","Romania, Mures, Târgu Mureș, Strada Sfântul Ioan","46.53853218781354, 24.601199626922607",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-sfantul-ioan-targu-mures-mures/
608,49,"Aleea Carpați 47, Târgu Mureș, judetul: Mures",Gropi imense in jurul parcului de la bloc 53 si 47. Nu se mai pot ocoli. S-a reparat trei sferturi din Aleea Carpati si restul a fost lasat in paragina.,"Romania, Mures, Târgu Mureș, Aleea Carpați 47","46.55694956313234, 24.561985731124878",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/aleea-carpati-47-targu-mures-mures/
609,56,"Piața Matei Corvin 1, Târgu Mureș, judetul: Mures","Pe banda 2 din sesul giratoriu, directia pod spre Calarasilor, exista 2 gropi imense din cauza unor guri de canal. Va rog remediati problema, multi soferi nu respecta benzile de mers din cauza acelor 2 gropi adanci. Multumesc.","Romania, Mures, Târgu Mureș, Piața Matei Corvin 1","46.55078161898992, 24.555054903030396",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/piata-matei-corvin-1-targu-mures-mures/
610,44,"Sens giratoriu str Calarasi, Târgu Mureș, judetul: Mures","Modernizare sens giratoriu str Calarasi - str Sinaia, efectuarea unui studiu serios care sa aiba in vedere si pietonii nu doar traficul de autovehicole.","Romania, Mures, Târgu Mureș, Sens giratoriu str Calarasi","46.5517525, 24.557331999999974",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/sens-giratoriu-str-calarasi-targu-mures-mures/
611,56,"Strada Voinicenilor 90, cu Vasile Lucaciu, Târgu Mureș, judetul: Mures",La această intersecție ar trebui o hașurare a carosabilului cu culoare galbenă exact înaintea trecerii de pietoni (sensul de mers spre Santana). Cei care ies de pe strada Vasile Lucaciu pe Voinicenilor sunt de multe ori blocați de mașinile care opresc exact lângă trecerea de pietoni. Aceasta hașurare i-ar avertiza sa oprească doi metri mai in spate,"Romania, Mures, Târgu Mureș, Strada Voinicenilor 90, cu Vasile Lucaciu","46.56312418293135, 24.547888040542603",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-voinicenilor-90-cu-vasile-lucaciu-targu-mures-mures/
